Countries;Source;Type;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Luxembourg; (FAO) 1961-1999, Average of France and Germany consumption 2000-2018; All types;11;10.98;11.18;11.25;11.37;11.42;11.25;11.67;11.74;11.84
Luxembourg; (FAO) 1961-1999, Average of France and Germany consumption 2000-2018; Beer;4.04;4.05;3.98;3.99;4.02;4.07;3.84;4.08;4.06;4.19
Luxembourg; (FAO) 1961-1999, Average of France and Germany consumption 2000-2018; Wine;4.73;4.71;4.95;5.01;5.1;5.08;5.12;5.28;5.32;5.25
Luxembourg; (FAO) 1961-1999, Average of France and Germany consumption 2000-2018; Spirits;2.14;2.22;2.24;2.25;2.25;2.27;2.29;2.31;2.36;2.4
Luxembourg; (FAO) 1961-1999, Average of France and Germany consumption 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Madagascar; (FAO) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; All types;0.89;0.89;0.89;0.88;0.86;0.87;0.85;0.85;0.89;0.96
Madagascar; (FAO) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Beer;0.5;0.5;0.5;0.48;0.46;0.44;0.42;0.45;0.5;0.53
Madagascar; (FAO) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Wine;0.07;0.07;0.07;0.07;0.07;0.08;0.08;0.1;0.1;0.1
Madagascar; (FAO) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Spirits;0.32;0.32;0.32;0.33;0.33;0.35;0.34;0.31;0.3;0.33
Madagascar; (FAO) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Malawi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;2.04;2.04;2.06;2.04;2.04;2.01;2.02;1.87;1.88;1.69
Malawi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.08;0.08;0.09;0.08;0.15;0.17;0.17;0.17;0.16;0.16
Malawi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0;0;0.01;0.01;0;0;0;0;0;0
Malawi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.25;0.25;0.25;0.25;0.19;0.08;0.23;0.29;0.17;0.18
Malawi; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;1.7;1.7;1.7;1.7;1.7;1.76;1.62;1.41;1.55;1.35
Malaysia; (FAO) 1961-1979, (WDT) 1980-1999, (GlobalData, IWSR) 2000-2018; All types;0.64;0.66;0.65;0.61;0.55;0.54;0.55;0.55;0.54;0.52
Malaysia; (FAO) 1961-1979, (WDT) 1980-1999, (GlobalData, IWSR) 2000-2018; Beer;0.48;0.48;0.48;0.45;0.4;0.4;0.4;0.41;0.39;0.38
Malaysia; (FAO) 1961-1979, (WDT) 1980-1999, (GlobalData, IWSR) 2000-2018; Wine;0.04;0.05;0.04;0.04;0.03;0.03;0.02;0.02;0.03;0.03
Malaysia; (FAO) 1961-1979, (WDT) 1980-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.11;0.12;0.12;0.12;0.12;0.11;0.11;0.11;0.11;0.1
Malaysia; (FAO) 1961-1979, (WDT) 1980-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Maldives; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;1.38;1.44;1.29;1.23;1.26;1.3;1.16;1.23;1.69;1.58
Maldives; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0.33;0.33;0.29;0.26;0.3;0.31;0.31;0.33;0.41;0.41
Maldives; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0.59;0.65;0.54;0.52;0.5;0.52;0.52;0.57;0.58;0.51
Maldives; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0.45;0.45;0.45;0.45;0.46;0.46;0.32;0.33;0.7;0.65
Maldives; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Mali; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;0.6;0.61;0.61;0.61;0.62;0.61;0.58;0.61;0.62;0.6
Mali; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.09;0.09;0.1;0.09;0.09;0.1;0.09;0.08;0.08;0.07
Mali; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0;0.01;0;0.01;0.01;0;0;0;0.01;0.01
Mali; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.02;0.02;0.02;0.02;0.02;0.02;0;0;0.02;0.02
Mali; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.53;0.51;0.49
Malta; (FAO) 1961-1987, (WDT) 1988-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;8.07;7.95;7.91;7.59;7.37;7.14;7.32;7.18;6.89;6.99
Malta; (FAO) 1961-1987, (WDT) 1988-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;2.8;2.8;2.78;2.77;2.76;2.76;2.76;2.77;2.77;2.78
Malta; (FAO) 1961-1987, (WDT) 1988-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;2.34;2.48;2.56;2.33;2.16;2.02;2.07;2.15;1.99;2.21
Malta; (FAO) 1961-1987, (WDT) 1988-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;2.51;2.28;2.2;2.13;2.09;2.04;2.11;1.93;1.81;1.69
Malta; (FAO) 1961-1987, (WDT) 1988-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.42;0.39;0.36;0.36;0.36;0.33;0.37;0.33;0.31;0.31
Mauritania; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; All types;0;0;0;0;0;0;0;0;0;0
Mauritania; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Beer;0;0;0;0;0;0;0;0;0;0
Mauritania; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Wine;0;0;0;0;0;0;0;0;0;0
Mauritania; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Spirits;0;0;0;0;0;0;0;0;0;0
Mauritania; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Mauritius; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;3.39;3.44;3.35;3.51;2.83;3.06;3.17;3.17;3.36;3.15
Mauritius; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;1.94;1.94;1.85;1.83;1.41;1.68;1.85;1.84;1.95;1.8
Mauritius; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.23;0.23;0.22;0.22;0.17;0.2;0.22;0.22;0.23;0.22
Mauritius; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.88;0.88;0.88;1.04;0.87;0.87;0.8;0.81;0.87;0.78
Mauritius; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.02
Mexico; (WDT) 1961-1989, [International Consultants, S.C.] 1990-1999, (GlobalData, IWSR, OIV) 2000-2006, Mexico 2007-2016; All types;4.25;4.25;4.25;4.25;4.24;3.94;3.81;3.86;4;4.05
Mexico; (WDT) 1961-1989, [International Consultants, S.C.] 1990-1999, (GlobalData, IWSR, OIV) 2000-2006, Mexico 2007-2016; Beer;3.72;3.72;3.72;3.72;3.59;3.38;3.28;3.41;3.53;3.53
Mexico; (WDT) 1961-1989, [International Consultants, S.C.] 1990-1999, (GlobalData, IWSR, OIV) 2000-2006, Mexico 2007-2016; Wine;0.19;0.19;0.19;0.19;0.2;0.18;0.2;0.19;0.18;0.18
Mexico; (WDT) 1961-1989, [International Consultants, S.C.] 1990-1999, (GlobalData, IWSR, OIV) 2000-2006, Mexico 2007-2016; Spirits;0.19;0.19;0.19;0.19;0.24;0.24;0.19;0.12;0.18;0.23
Mexico; (WDT) 1961-1989, [International Consultants, S.C.] 1990-1999, (GlobalData, IWSR, OIV) 2000-2006, Mexico 2007-2016; Other alcoholic beverages;0.15;0.15;0.15;0.15;0.21;0.15;0.14;0.13;0.11;0.11
Micronesia (Federated States of); (FAO) 1961-1999, (FAO, WHO ) 2000-2009, WHO 2010-2014; All types;1.59;1.59;1.59;1.59;1.59;1.51;1.6;2.89;1.87;1.75
Micronesia (Federated States of); (FAO) 1961-1999, (FAO, WHO ) 2000-2009, WHO 2010-2014; Beer;0.92;0.92;0.92;0.92;0.92;0.88;0.85;1;0.89;0.85
Micronesia (Federated States of); (FAO) 1961-1999, (FAO, WHO ) 2000-2009, WHO 2010-2014; Wine;0.13;0.13;0.13;0.13;0.13;0.13;0.26;1.34;0.46;0.3
Micronesia (Federated States of); (FAO) 1961-1999, (FAO, WHO ) 2000-2009, WHO 2010-2014; Spirits;0.52;0.52;0.52;0.52;0.52;0.49;0.48;0.54;0.5;0.59
Micronesia (Federated States of); (FAO) 1961-1999, (FAO, WHO ) 2000-2009, WHO 2010-2014; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01
Mongolia; (FAO) 1961-1999, National Statistical Office of Mongolia 2000-2018; All types;5.46;5.73;6.19;6.85;8.35;9.88;12.58;7.53;6.65;7.73
Mongolia; (FAO) 1961-1999, National Statistical Office of Mongolia 2000-2018; Beer;2.18;2.23;2.04;2.14;2.13;2.12;2.33;2.29;1.96;1.61
Mongolia; (FAO) 1961-1999, National Statistical Office of Mongolia 2000-2018; Wine;1.46;1.57;1.36;1.33;1.19;1.38;1.44;1.58;1.52;1.23
Mongolia; (FAO) 1961-1999, National Statistical Office of Mongolia 2000-2018; Spirits;1.82;1.92;2.79;3.38;5.03;6.37;8.81;3.66;3.16;4.89
Mongolia; (FAO) 1961-1999, National Statistical Office of Mongolia 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Montenegro; (GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018; All types;9.91;9.87;9.56;9.13;8.49;8.55;9.62;9.37;9.02;9.94
Montenegro; (GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018; Beer;3.83;3.83;3.71;3.54;3.5;3.58;3.94;4.28;4;4.2
Montenegro; (GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018; Wine;2.68;2.67;2.55;2.45;1.98;2.09;2.89;2.41;2.41;3.21
Montenegro; (GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018; Spirits;3.22;3.14;3.06;2.93;2.81;2.69;2.61;2.52;2.44;2.35
Montenegro; (GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018; Other alcoholic beverages;0.16;0.23;0.23;0.21;0.2;0.2;0.18;0.16;0.17;0.18
Morocco; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; All types;0.51;0.47;0.43;0.4;0.39;0.41;0.46;0.46;0.46;0.47
Morocco; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Beer;0.18;0.18;0.17;0.17;0.16;0.15;0.18;0.18;0.18;0.2
Morocco; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Wine;0.24;0.21;0.18;0.17;0.17;0.19;0.21;0.2;0.19;0.18
Morocco; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Spirits;0.09;0.08;0.08;0.07;0.07;0.07;0.07;0.08;0.09;0.09
Morocco; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Mozambique; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;1.46;1.46;1.44;1.38;1.22;1.08;1;0.97;0.89;0.79
Mozambique; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;1.03;1.03;1.03;1.05;0.99;0.84;0.77;0.75;0.7;0.63
Mozambique; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.22;0.22;0.22;0.14;0.06;0.06;0.06;0.06;0.05;0.02
Mozambique; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.21;0.2;0.19;0.18;0.16;0.18;0.17;0.16;0.14;0.13
Mozambique; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0.01;0.01;0.01;0.01;0.01;0;0;0;0
Myanmar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;2.06;1.85;1.77;1.61;1.47;1.36;1.31;1.24;1.09;0.97
Myanmar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.5;0.5;0.46;0.42;0.37;0.32;0.28;0.24;0.17;0.15
Myanmar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01
Myanmar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;1.55;1.33;1.3;1.17;1.08;1.03;1.02;0.99;0.91;0.81
Myanmar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Namibia; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;2.38;2.54;2.62;2.67;2.63;2.59;2.45;2.37;1.59;1.4
Namibia; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;1.37;1.37;1.34;1.32;1.24;1.22;1.17;1.17;1.09;1.05
Namibia; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.16;0.16;0.16;0.16;0.15;0.15;0.14;0.14;0.13;0.13
Namibia; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.53;0.61;0.65;0.7;0.74;0.75;0.69;0.65;0.22;0.07
Namibia; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.32;0.4;0.46;0.49;0.5;0.47;0.44;0.41;0.15;0.15
Nauru; (FAO) 2000-2013; All types;2.44;2.44;2.44;2.44;2.44;2.44;2.44;3.5;4.25;4.44
Nauru; (FAO) 2000-2013; Beer;0.54;0.54;0.54;0.54;0.54;0.54;0.54;0.48;1.74;1.75
Nauru; (FAO) 2000-2013; Wine;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.22;0.06;0.24
Nauru; (FAO) 2000-2013; Spirits;1.81;1.81;1.81;1.81;1.81;1.81;1.81;2.8;2.45;2.46
Nauru; (FAO) 2000-2013; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Nepal; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;0.36;0.36;0.35;0.33;0.24;0.24;0.28;0.26;0.25;0.23
Nepal; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.22;0.22;0.22;0.21;0.19;0.18;0.16;0.13;0.12;0.1
Nepal; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0;0;0;0;0;0;0.01;0.01;0.01;0
Nepal; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.13;0.13;0.13;0.12;0.04;0.05;0.12;0.12;0.12;0.12
Nepal; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Netherlands (Kingdom of the); (WDT) 1961-1999, STAP-Dutch Institute for Alcohol Policy 2000-2018; All types;8.23;8.33;8.31;8.29;8.3;8.38;8.59;9;8.95;9.34
Netherlands (Kingdom of the); (WDT) 1961-1999, STAP-Dutch Institute for Alcohol Policy 2000-2018; Beer;3.95;3.99;4.02;4.05;4.04;4.12;4.2;4.37;4.34;4.36
Netherlands (Kingdom of the); (WDT) 1961-1999, STAP-Dutch Institute for Alcohol Policy 2000-2018; Wine;2.92;2.93;2.94;2.89;2.94;2.95;2.87;3.16;3.17;3.18
Netherlands (Kingdom of the); (WDT) 1961-1999, STAP-Dutch Institute for Alcohol Policy 2000-2018; Spirits;1.36;1.41;1.37;1.35;1.32;1.32;1.52;1.52;1.49;1.53
Netherlands (Kingdom of the); (WDT) 1961-1999, STAP-Dutch Institute for Alcohol Policy 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
New Zealand; (WDT) 1963-1996, Statistics New Zealand 1997-2018; All types;9.17;9.12;9.06;9.02;8.68;8.98;9.12;9.17;9.45;9.62
New Zealand; (WDT) 1963-1996, Statistics New Zealand 1997-2018; Beer;3.41;3.39;3.34;3.38;3.28;3.33;3.45;3.38;3.65;3.68
New Zealand; (WDT) 1963-1996, Statistics New Zealand 1997-2018; Wine;2.88;2.94;3.02;3.01;2.91;3.13;3.01;3;3.01;3.23
New Zealand; (WDT) 1963-1996, Statistics New Zealand 1997-2018; Spirits;1.62;1.56;1.49;1.49;1.4;1.47;1.52;1.52;1.53;1.52
New Zealand; (WDT) 1963-1996, Statistics New Zealand 1997-2018; Other alcoholic beverages;1.26;1.23;1.2;1.14;1.1;1.05;1.15;1.26;1.26;1.2
Nicaragua; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;3.69;3.77;3.87;3.8;3.72;3.54;3.55;3.6;3.34;3.33
Nicaragua; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;1.57;1.57;1.6;1.52;1.44;1.38;1.34;1.31;1.31;1.31
Nicaragua; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.02;0.02;0.04;0.04;0.04;0.04;0.04;0.04;0.02;0.02
Nicaragua; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.1;2.17;2.23;2.23;2.24;2.12;2.17;2.25;2.01;1.99
Nicaragua; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0.01;0;0;0;0;0;0;0
Niger; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;0.11;0.11;0.11;0.12;0.12;0.12;0.09;0.15;0.13;0.11
Niger; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.04;0.04;0.04;0.05;0.05;0.05;0.04;0.05;0.05;0.05
Niger; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Niger; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.06;0.06;0.06;0.06;0.07;0.06;0.04;0.09;0.07;0.05
Niger; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Nigeria; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;4.49;4.45;4.41;4.43;4.51;4.45;4.45;4.73;4.99;5.22
Nigeria; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;0.73;0.73;0.72;0.71;0.72;0.7;0.7;0.71;0.72;0.71
Nigeria; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.09;0.09;0.09;0.08;0.09;0.08;0.08;0.08;0.08;0.08
Nigeria; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.4;0.36;0.34;0.33;0.35;0.35;0.35;0.35;0.35;0.38
Nigeria; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;3.27;3.27;3.27;3.31;3.35;3.32;3.32;3.59;3.84;4.05
Niue; (FAO) 1990-1999, (FAO, Wine Institute) 2000-2017; All types;8.5;8.5;8.5;8.61;8.21;7.81;8.01;9;6.81;4.59
Niue; (FAO) 1990-1999, (FAO, Wine Institute) 2000-2017; Beer;4.28;4.28;4.28;4.28;4.28;4.28;4.28;2.16;2.93;1.57
Niue; (FAO) 1990-1999, (FAO, Wine Institute) 2000-2017; Wine;1.89;1.89;1.89;2;1.59;1.2;1.4;1.52;1.9;1.04
Niue; (FAO) 1990-1999, (FAO, Wine Institute) 2000-2017; Spirits;2.33;2.33;2.33;2.33;2.33;2.33;2.33;5.32;1.98;1.98
Niue; (FAO) 1990-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
North Macedonia; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;3.9;3.89;3.77;3.63;3.57;3.56;3.61;3.54;3.52;3.53
North Macedonia; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;1.93;1.93;1.84;1.7;1.67;1.65;1.71;1.66;1.6;1.59
North Macedonia; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;1.03;1.03;1.03;1.04;1.04;1.04;1.04;1.04;1.06;1.06
North Macedonia; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;0.9;0.89;0.87;0.85;0.83;0.83;0.83;0.81;0.84;0.86
North Macedonia; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.03;0.04;0.04;0.03;0.03;0.03;0.03;0.02;0.02;0.02
Norway; (WDT) 1961-1966,  (SIRUS) 1967-1980,  Norway 1981-1999, WHO 2000-2004,  Norway 2005-2018; All types;6.05;6.02;6;6.03;5.97;6.06;6.21;6.21;6.44;6.59
Norway; (WDT) 1961-1966,  (SIRUS) 1967-1980,  Norway 1981-1999, WHO 2000-2004,  Norway 2005-2018; Beer;2.63;2.66;2.63;2.65;2.57;2.62;2.68;2.67;2.83;2.91
Norway; (WDT) 1961-1966,  (SIRUS) 1967-1980,  Norway 1981-1999, WHO 2000-2004,  Norway 2005-2018; Wine;2.23;2.2;2.19;2.21;2.22;2.25;2.3;2.29;2.3;2.29
Norway; (WDT) 1961-1966,  (SIRUS) 1967-1980,  Norway 1981-1999, WHO 2000-2004,  Norway 2005-2018; Spirits;1;0.97;1.01;1.01;1.03;1.04;1.09;1.11;1.18;1.25
Norway; (WDT) 1961-1966,  (SIRUS) 1967-1980,  Norway 1981-1999, WHO 2000-2004,  Norway 2005-2018; Other alcoholic beverages;0.19;0.19;0.17;0.16;0.15;0.15;0.14;0.14;0.13;0.14
Oman; (FAO) 1961-1999, (GlobalData, IWSR, Wine Institute) 2000-2018; All types;0.47;0.48;0.47;0.45;0.45;0.42;0.44;0.49;0.5;0.51
Oman; (FAO) 1961-1999, (GlobalData, IWSR, Wine Institute) 2000-2018; Beer;0.17;0.17;0.16;0.16;0.17;0.17;0.18;0.19;0.2;0.2
Oman; (FAO) 1961-1999, (GlobalData, IWSR, Wine Institute) 2000-2018; Wine;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.03;0.02;0.03
Oman; (FAO) 1961-1999, (GlobalData, IWSR, Wine Institute) 2000-2018; Spirits;0.29;0.29;0.28;0.27;0.27;0.23;0.25;0.27;0.28;0.28
Oman; (FAO) 1961-1999, (GlobalData, IWSR, Wine Institute) 2000-2018; Other alcoholic beverages;0;0.01;0.01;0;0;0;0;0;0;0
Pakistan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2012, (FAO, GlobalData, IWSR, Wine Institute) 2013-2018; All types;0.04;0.05;0.04;0.04;0.04;0.04;0.03;0.03;0.04;0.04
Pakistan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2012, (FAO, GlobalData, IWSR, Wine Institute) 2013-2018; Beer;0;0;0;0;0;0;0;0;0;0
Pakistan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2012, (FAO, GlobalData, IWSR, Wine Institute) 2013-2018; Wine;0;0;0;0;0;0;0;0;0;0
Pakistan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2012, (FAO, GlobalData, IWSR, Wine Institute) 2013-2018; Spirits;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.03
Pakistan; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2012, (FAO, GlobalData, IWSR, Wine Institute) 2013-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Panama; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;6.54;6.56;6.79;6.61;6.84;6.3;6.21;6.21;6.16;6.1
Panama; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;5.29;5.29;5.4;5.13;5.36;4.79;4.43;4.27;4.21;4.1
Panama; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.02;0.01;0.16;0.16;0.14;0.19;0.19;0.2;0.18;0.17
Panama; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;1.2;1.24;1.21;1.3;1.31;1.3;1.57;1.72;1.75;1.8
Panama; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03
Papua New Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine institute) 2000-2017; All types;1.26;1.26;1.37;1.34;1.36;1.35;0.81;0.94;0.81;0.73
Papua New Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine institute) 2000-2017; Beer;0.6;0.6;0.71;0.69;0.63;0.68;0.74;0.87;0.79;0.7
Papua New Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine institute) 2000-2017; Wine;0.06;0.06;0.06;0.05;0.06;0.02;0.02;0.03;0.02;0.01
Papua New Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine institute) 2000-2017; Spirits;0.6;0.6;0.6;0.6;0.67;0.66;0.05;0.04;0;0.01
Papua New Guinea; (FAO) 1961-1999, (FAO, GlobalData, Wine institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Paraguay; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;5.47;5.54;5.49;5.34;5.21;5.39;5.62;5.8;6.14;6.27
Paraguay; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;3.27;3.27;3.23;3.14;3.12;3.16;3.19;3.2;3.31;3.27
Paraguay; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.59;0.6;0.61;0.52;0.41;0.47;0.64;0.79;0.96;1.14
Paraguay; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;1.59;1.6;1.59;1.62;1.62;1.7;1.74;1.75;1.82;1.82
Paraguay; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.03;0.07;0.07;0.06;0.06;0.06;0.05;0.05;0.05;0.04
Peru; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; All types;5.74;5.74;5.79;5.64;5.68;5.51;5.27;5.35;5.22;5.23
Peru; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Beer;3.01;3.01;3.09;3.13;3.16;3.19;3.17;3.28;3.17;3.2
Peru; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Wine;0.46;0.46;0.43;0.43;0.43;0.43;0.42;0.41;0.37;0.35
